Iteration 0, Error: 1.000000e+00
Iteration 100, Error: 2.451506e-03
Iteration 200, Error: 1.233889e-03
Iteration 300, Error: 8.305474e-04
Iteration 400, Error: 6.291974e-04
Iteration 500, Error: 5.080760e-04
Iteration 600, Error: 4.282823e-04
Iteration 700, Error: 3.724847e-04
Iteration 800, Error: 3.308205e-04
Iteration 900, Error: 2.981428e-04
Iteration 1000, Error: 2.718347e-04
Iteration 1100, Error: 2.501851e-04
Iteration 1200, Error: 2.320386e-04
Iteration 1300, Error: 2.165880e-04
Iteration 1400, Error: 2.032540e-04
Iteration 1500, Error: 1.916111e-04
Iteration 1600, Error: 1.813401e-04
Iteration 1700, Error: 1.721974e-04
Iteration 1800, Error: 1.639936e-04
Iteration 1900, Error: 1.566100e-04
Iteration 2000, Error: 1.499338e-04
Iteration 2100, Error: 1.438271e-04
Iteration 2200, Error: 1.382110e-04
Iteration 2300, Error: 1.330211e-04
Iteration 2400, Error: 1.282615e-04
Iteration 2500, Error: 1.238312e-04
Iteration 2600, Error: 1.196856e-04
Iteration 2700, Error: 1.158192e-04
Iteration 2800, Error: 1.122100e-04
Iteration 2900, Error: 1.087985e-04
Iteration 3000, Error: 1.055918e-04
Iteration 3100, Error: 1.025727e-04
Iteration 3200, Error: 9.969547e-05
Iteration 3300, Error: 9.699013e-05
Iteration 3400, Error: 9.440844e-05
Iteration 3500, Error: 9.195033e-05
Iteration 3600, Error: 8.961633e-05
Iteration 3700, Error: 8.737240e-05
Iteration 3800, Error: 8.524769e-05
Iteration 3900, Error: 8.319276e-05
Iteration 4000, Error: 8.124402e-05
Iteration 4100, Error: 7.935503e-05
Iteration 4200, Error: 7.755701e-05
Iteration 4300, Error: 7.581102e-05
Iteration 4400, Error: 7.414650e-05
Iteration 4500, Error: 7.252573e-05
Iteration 4600, Error: 7.097882e-05
Iteration 4700, Error: 6.947228e-05
Iteration 4800, Error: 6.802562e-05
Iteration 4900, Error: 6.662137e-05
Iteration 5000, Error: 6.526285e-05
Iteration 5100, Error: 6.395060e-05
Iteration 5200, Error: 6.266997e-05
